year,source_ccode,target_ccode,tie
1985,160,481,211.07186158244713
1986,160,481,197.84029809887033
1987,160,481,162.18706071703764
1988,160,481,129.50551626608558
1989,160,481,107.84277870268488
1990,160,481,80.99730391449975
1991,160,481,57.62882027532032
1992,160,481,25.91054747741873
1993,160,481,17.83736065924677
1994,160,481,-64.67638673407328
1995,160,481,-135.7539733177082
1996,160,481,-164.68633123484415
1997,160,481,-192.60916049173193
1998,160,481,-199.53281815307218
1999,160,481,-244.56656979903437
2000,160,481,-346.43796518979707
2001,160,481,-330.09039209868115
2002,160,481,-344.6831397569267
2003,160,481,-420.3281156297626
2004,160,481,-537.6851266998756
2005,160,481,-622.4303012670034
2006,160,481,-731.6599472953503
2007,160,481,-867.496445998836
2008,160,481,-1003.7143793129098
2009,160,481,-769.7256278282448
2010,160,481,-944.3842088937226
2011,160,481,-1140.8263686802502
2012,160,481,-1146.3614943785751
2013,160,481,-1154.7364943785751
2014,160,481,-1167.9310474511994
1960,160,482,853.7270675328564
1961,160,482,836.480818168905
1962,160,482,765.1690785377305
1963,160,482,739.1000577077384
1964,160,482,711.8141631793005
1965,160,482,701.4456737475448
1966,160,482,666.1683424996181
1967,160,482,662.9414061991647
1968,160,482,644.8493659767528
1969,160,482,643.2554149235566
1970,160,482,625.8932848420327
1971,160,482,606.3445665685895
1972,160,482,599.5734146715686
1973,160,482,575.3299731706365
1974,160,482,539.5922670268628
1975,160,482,505.0271792230096
1976,160,482,490.23196505796113
1977,160,482,472.33968870978424
1978,160,482,467.47213700829343
1979,160,482,433.25701301681966
1980,160,482,394.44820214271203
1981,160,482,368.44831017127945
1982,160,482,379.094623560889
1983,160,482,381.02080201880653
1984,160,482,363.24845323163845
1985,160,482,354.1513098634732
1986,160,482,339.91974637989733
1987,160,482,303.26650899806464
1988,160,482,270.5849645471126
1989,160,482,247.92222698371188
1990,160,482,223.07675219552584
1991,160,482,199.70826855634732
1992,160,482,168.98999575844573
1993,160,482,142.91680894027377
1994,160,482,79.40306154695372
1995,160,482,10.325474963317902
1996,160,482,-21.606882953818058
1997,160,482,-46.52971221070402
1998,160,482,-53.45336987204428
1999,160,482,-100.48712151800828
2000,160,482,-201.35851690877098
2001,160,482,-186.01094381765506
2002,160,482,-202.60369147590063
2003,160,482,-280.24866734873467
2004,160,482,-397.6056784188495
2005,160,482,-485.3508529859773
2006,160,482,-599.5804990143224
2007,160,482,-732.416997717808
2008,160,482,-872.6349310318838
2009,160,482,-631.6461795472169
2010,160,482,-804.3047606126966
2011,160,482,-1004.7469203992223
2012,160,482,-1012.2820460975472
2013,160,482,-1028.6570460975472
2014,160,482,-1040.8515991701734
1960,160,483,1111.782665524226
1961,160,483,1094.5364161602747
1962,160,483,1023.2246765291002
1963,160,483,997.155655699109
1964,160,483,969.8697611706702
1965,160,483,959.5012717389145
1966,160,483,924.2239404909878
1967,160,483,920.9970041905344
1968,160,483,902.9049639681225
1969,160,483,901.3110129149263
1970,160,483,883.9488828334033
1971,160,483,864.4001645599592
1972,160,483,857.6290126629383
1973,160,483,834.3855711620063
1974,160,483,797.6478650182326
1975,160,483,763.0827772143793
1981,160,483,626.5039081626492
1982,160,483,637.1502215522587
1983,160,483,639.0764000101763
1984,160,483,621.3040512230082
1985,160,483,612.2069078548438
1986,160,483,597.975344371267
1987,160,483,561.3221069894344
1988,160,483,528.6405625384823
1989,160,483,505.9778249750816
1990,160,483,481.1323501868965
1991,160,483,457.76386654771704
1992,160,483,427.04559374981545
1993,160,483,400.9724069316435
1994,160,483,337.45865953832345
1995,160,483,268.3810729546876
1996,160,483,236.44871503755257
1997,160,483,211.5258857806648
1998,160,483,204.60222811932545
1999,160,483,157.56847647336144
2000,160,483,56.69708108259874
2001,160,483,72.04465417371466
2002,160,483,55.45190651546909
2003,160,483,-21.193069357364948
2004,160,483,-139.55008042747795
2005,160,483,-227.2952549946076
2006,160,483,-341.5249010229527
2007,160,483,-473.3613997264383
2008,160,483,-613.579333040514
2009,160,483,-372.59058155584717
2010,160,483,-544.249162621325
2011,160,483,-744.6913224078526
2012,160,483,-753.2264481061775
2013,160,483,-769.6014481061775
2014,160,483,-781.7960011788036
1960,160,484,605.1744746932991
1961,160,484,587.9282253293486
1962,160,484,516.6164856981732
1963,160,484,490.54746486818203
1964,160,484,463.26157033974323
1965,160,484,452.8930809079875
1966,160,484,417.61574966006083
1967,160,484,414.3888133596074
1968,160,484,396.2967731371964
1969,160,484,394.7028220840002
1970,160,484,378.3406920024763
1971,160,484,357.7919737290331
1972,160,484,351.0208218320113
1973,160,484,326.77738033108017
1974,160,484,291.03967418730645
1975,160,484,256.47458638345233
1976,160,484,242.67937221840475
1977,160,484,224.78709587022786
1978,160,484,219.91954416873705
1979,160,484,195.70442017726327
1980,160,484,165.89560930315565
1981,160,484,122.89571733172215
1982,160,484,132.5420307213326
1983,160,484,134.46820917925015
1984,160,484,116.69586039208207
1985,160,484,106.59871702391683
1986,160,484,92.36715354034004
1987,160,484,55.713916158507345
1988,160,484,24.032371707555285
1989,160,484,0.3696341441554978
1990,160,484,-22.47584064402963
1991,160,484,-44.84432428320997
1992,160,484,-76.56259708111156
1993,160,484,-103.63578389928352
1994,160,484,-168.14953129260266
1995,160,484,-237.2271178762394
1996,160,484,-270.15947579337353
1997,160,484,-295.0823050502613
1998,160,484,-302.00596271160157
1999,160,484,-345.0397143575656
2000,160,484,-446.91110974832645
2001,160,484,-428.56353665721235
2002,160,484,-443.1562843154579
2003,160,484,-524.801260188292
2004,160,484,-620.158271258405
2005,160,484,-686.9034458255328
2006,160,484,-799.1330918538779
2007,160,484,-920.9695905573635
2008,160,484,-1064.1875238714392
2009,160,484,-798.1987723867742
2010,160,484,-985.857353452252
2011,160,484,-1201.2995132387778
2012,160,484,-1207.8346389371027
2013,160,484,-1232.2096389371027
2014,160,484,-1246.4041920097288
1960,160,490,707.2327258876339
1961,160,490,689.9864765236825
1962,160,490,618.674736892508
1963,160,490,592.6057160625169
1964,160,490,565.3198215340781
1965,160,490,554.9513321023223
1966,160,490,519.6740008543957
1967,160,490,518.4470645539423
1968,160,490,499.35502433153124
1969,160,490,497.76107327833506
